EventID,snapshot_id,description,permanent_or_temporary,ended_or_ongoing,end_date,date_confidence,significance,valence,life_event_type,work_perf_impact,DupeStatus,ExcludeCode,UpdatedBeginDate,UpdatedBeginDateCode,UpdatedEndDate,UpdatedEndDateCode,alias,cohort,sentiment
50,9538519058511045721,Got married,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,Medium negative effect,0.0,0,2018-10-20,0,,0,49c8262b62f0a45d7437ce326809d37f,D,1
51,11725804650858325510,Birth of Son,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,Medium negative effect,1.0,0,2018-06-25,0,,0,7a6dc08a943ac1d148351da967d4385c,D,1
52,11336198902553740099,Moved apartments,Permanent,,,Highest confidence,Moderately low significance,Neither Positive or Negative,personal,No effect,0.0,0,2018-09-08,0,,0,73de61a81757cadb6016b9a0dffdd0c0,D,0
53,11178893862060923050,"Moved to a different state, stayed 1 month with a friend before moving to permanent residence",Temporary,Ended,11/16/2018,Highest confidence,High significance,Very Positive,personal,Medium negative effect,0.0,0,2018-10-15,0,2018-11-16,0,16aba35a368e308380dbe4ffc433ac41,D,1
54,12945770362079735188,Finalization of divorce,Permanent,,,Moderate confidence,High significance,Somewhat Negative,personal,No effect,0.0,0,2018-04-20,0,,0,0d5fd9c96495ce6e26a2946bc5fc462c,D,-1
55,12870395895502894727,vacation,Temporary,Ended,06/08/2018,Moderate confidence,Moderate significance,Very Positive,personal,No effect,0.0,0,2018-05-23,3,2018-06-08,0,bb305ac3c3670bec3c51a5be4639004b,D,1
58,12672283172047217763,Took a vacation,Temporary,Ended,10/15/2018,Highest confidence,Moderate significance,Very Positive,personal,No effect,0.0,0,2018-09-28,0,2018-10-15,0,c1847a01b94b8f99594a5960b665986d,D,1
59,11648207293195291826,Wife diagnosed with cancer,Temporary,Ongoing,,Moderately high  confidence,Highest significance,Extremely Negative,personal,Small negative effect,0.0,0,2018-02-05,3,,0,cc33ca3ac62735892894acfd0c0e05b8,D,-1
60,9633120381526577840,new home,Permanent,,,Moderate confidence,Moderate significance,Neither Positive or Negative,personal,No effect,0.0,0,2018-12-20,5,,0,cf830c5dd6c938817a038d06b669242a,D,0
62,9841251670608586150,Multiple Deaths in family within 1 week,Permanent,,,Moderately low confidence,Highest significance,Very Negative,personal,No effect,0.0,0,2018-11-11,0,,0,d34aa957289e36fd72abdfc753b228f9,D,-1
63,10536136866870522594,Marriage,Permanent,,,Highest confidence,High significance,Extremely Positive,personal,Small positive effect,0.0,0,2018-12-28,5,,0,959d66404777eb3fd2ebbaca17b4fa18,D,1
66,11307079325421377332,Exercise boot camp,Permanent,,,Highest confidence,Moderately high significance,Extremely Positive,personal,Medium positive effect,1.0,0,2019-01-08,0,,0,576deabb8ee285520c810e8cc186ddf4,D,1
68,12850824896021232015,Moved apartments,Permanent,,,High confidence,Moderate significance,Very Positive,personal,No effect,0.0,0,2018-08-01,0,,0,6a3a1f77476848969509d2802eb4e3be,D,1
69,11572316908792461326,"Got Married, Had Surgery",Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,No effect,0.0,0,2018-08-11,0,,0,a0976d02a76a818cc85e36a9b505caf4,D,1
70,11485911854465942509,Took a vacation,Temporary,Ended,01/02/2019,Highest confidence,Low significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-10-24,0,2019-01-02,0,7b4000c1d881f1e15b8957d0cdd7824b,D,1
71,10642670384768572318,lost my car when it was hit by another car,Permanent,,,Highest confidence,High significance,Very Negative,personal,No effect,0.0,0,2018-05-05,0,,0,71b212df7e7dc28acbda39ce14cce38c,D,-1
72,9951015782149876192,Started a relationship,Unsure,,,Highest confidence,Highest significance,Extremely Positive,personal,Small positive effect,0.0,0,2018-09-15,0,,0,7ae144ae79d4067714ad2ed58fe6fb8c,D,1
73,10561941628438591922,Stepchild moved into our home full time,Unsure,,,Highest confidence,High significance,Somewhat Negative,personal,Medium negative effect,0.0,0,2018-08-20,0,,0,1c5142c7f6961ff8991563cef1f6089a,D,-1
74,12081563688291339966,Skipped planned vacation,Temporary,Ongoing,,Moderate confidence,Moderate significance,Somewhat Negative,personal,No effect,0.0,0,2019-03-03,0,,0,8a659c252aedefff470054fdf4fa2d9b,D,-1
76,9690043469531814296,Vacation,Temporary,Ended,09/07/2018,Highest confidence,Moderately high significance,Extremely Positive,personal,Medium positive effect,0.0,0,2018-09-03,0,2018-09-07,0,0817e8e4d7c7bd0a894319f4d41db723,D,1
77,11629478840761160200,Adopted two kittens,Permanent,,,Highest confidence,Moderate significance,Very Positive,personal,No effect,0.0,0,2018-09-26,0,,0,64a41a9d9db125f9767c85f29b0332af,D,1
80,12875744005516696917,Vacation,Temporary,Ended,08/21/2018,Moderate confidence,Moderately low significance,Very Positive,personal,Medium positive effect,0.0,0,2018-08-14,0,2018-08-21,0,6df6af3ae67cb8df83be114dd9510eba,D,1
82,12935103128287399355,move to new home,Temporary,Ended,10/23/2019,Moderate confidence,Moderate significance,Very Negative,personal,No effect,0.0,0,2018-10-23,0,2018-10-23,1,16aa9c54d39f140836eb66facbf1f474,D,-1
84,9469301659967165028,Took a vacation,Temporary,Ended,01/04/2019,High confidence,Moderately high significance,Very Positive,personal,Large positive effect,2.0,0,2018-12-24,0,2019-01-04,0,ec759b87272d11068ff9f3690ccb3e8f,D,1
87,10536007720954569181,Moved to a new house,Permanent,,,Highest confidence,High significance,Very Positive,personal,No effect,0.0,0,2018-05-23,0,,0,1e7265206f52eadef439b8764e25b138,D,1
88,12874079465127791547,Got Married,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,No effect,0.0,0,2018-06-02,0,,0,6417ba07c4ec3b17c2399c5c8df58a47,D,1
89,10780081909989974884,Lawsuit with neighbor,Unsure,,,Moderately high  confidence,Moderately high significance,Somewhat Negative,personal,Medium negative effect,0.0,0,2018-11-01,0,,0,6d5280a233a07aa51579b6ed3dfe7bce,D,-1
90,10054756550468484831,Birth of child,Permanent,,,High confidence,Highest significance,Extremely Positive,personal,Medium negative effect,0.0,0,2019-03-25,0,,0,6e5f95cd87f3a2eb6584d40105c1667b,D,1
92,13181116832082595174,Son went to college,Permanent,,,Highest confidence,High significance,Somewhat Positive,personal,Small negative effect,0.0,0,2018-08-21,0,,0,6cc5be11a28a9ea349451ba52c90298b,D,1
93,11085219685850319828,took a vacation,Temporary,Ended,08/15/2018,Moderately high  confidence,Low significance,Very Positive,personal,Small positive effect,0.0,0,2018-08-05,0,2018-08-15,0,dcd3edad37cec5c5563846dd34c54f41,D,1
94,13013063104891126748,Moved,Permanent,,,Highest confidence,High significance,Somewhat Positive,personal,Medium positive effect,0.0,0,2019-02-28,0,,0,c2e1307f5239394e6f851581f90aaad8,D,1
95,10067625580963825074,,Unsure,,,Low confidence,Moderately high significance,Somewhat Negative,personal,No effect,0.0,0,2019-01-01,0,,0,e6d407313a601679f75015ee901aff81,D,-1
96,11829059645538974156,Took a vacation,Temporary,Ended,12/31/2018,Highest confidence,High significance,Very Positive,personal,Medium positive effect,0.0,0,2018-12-20,0,2018-12-31,0,64ea8867f2de5396a563ce249d3093b4,D,1
98,10990483368740508295,My boyfriend deployed overseas,Temporary,Ended,05/01/2019,Highest confidence,Highest significance,Extremely Negative,personal,Medium negative effect,0.0,0,2018-10-02,0,2019-04-10,4,fa36d9d271c2cbdd6ae4f9699d0b24dc,D,-1
100,13278348818768478962,started a relationship,Temporary,Ended,05/26/2019,Moderately low confidence,Moderately high significance,Very Negative,personal,No effect,0.0,0,2019-02-01,0,2019-04-10,4,31f136519742fe7e0120abada8d07e35,D,-1
101,12144059624259305924,Relations with significant other changed for the better,Unsure,,,Highest confidence,High significance,Extremely Positive,personal,Small negative effect,0.0,0,2019-04-10,0,,0,f1915f4e923b1713e341f37f5c462174,D,1
103,10384937564254416204,Moved into new house,Permanent,,,High confidence,High significance,Very Positive,personal,Medium positive effect,0.0,0,2018-08-01,0,,0,712c8a76cad442344879071959871c43,D,1
104,11844295148223763108,,Permanent,,,Highest confidence,High significance,Extremely Positive,personal,No effect,0.0,0,2018-12-19,0,,0,ea6fa478620f2ae145b3bc067c1518e5,D,1
105,10903913578368349197,Moved States,Permanent,,,Highest confidence,High significance,Very Positive,personal,No effect,0.0,0,2018-06-30,0,,0,913c0f1bb58c3e1c1bdc7712083f6b9e,D,1
106,12516215411311181588,Took a vacation,Temporary,Ended,09/04/2018,Highest confidence,Low significance,Very Positive,personal,Small positive effect,0.0,0,2018-08-30,0,2018-09-04,0,198893166f8ce36e20d8796fb6a61cd4,D,1
107,11672365439001733626,Promotion,Permanent,,,Highest confidence,High significance,Very Positive,personal,Large positive effect,0.0,0,2018-09-01,0,,0,0adae9a9098549bcf7b20ee7e12b9575,D,1
108,12131199544704830706,Vacation,Temporary,Ended,06/18/2018,Highest confidence,Moderate significance,Very Positive,personal,Small negative effect,0.0,0,2018-06-08,0,2018-06-18,0,fa3f9bc3a8a9957e815a22c62eda1aeb,D,1
109,10218374518126117174,Vacation,Temporary,Ended,12/27/2018,Highest confidence,Low significance,Very Positive,personal,No effect,0.0,0,2018-12-20,0,2018-12-27,0,b5ca1b466bcfb6af09e37cecc301cab5,D,1
110,12680617526080257161,Training - maximize your professional sucess,Temporary,Ended,08/22/2018,Highest confidence,Moderate significance,Very Positive,personal,Small positive effect,0.0,0,2018-08-21,0,2018-08-22,0,3a78f1e66fd3104c89b3f56b089b4b1b,D,1
111,10984962087018963837,Began dating,Permanent,,,High confidence,Moderate significance,Somewhat Positive,personal,No effect,0.0,0,2018-07-15,0,,0,2515caec27b425fcb3ad61066ec94674,D,1
112,12289126884564506200,Estrangement from close sibling,Temporary,Ongoing,,High confidence,High significance,Extremely Negative,personal,Small negative effect,0.0,0,2018-05-30,0,,0,170d659ad563a3c1158eca732fc5332b,D,-1
113,10573207566091983793,Vacation,Temporary,Ended,09/02/2018,Moderate confidence,Low significance,Somewhat Positive,personal,No effect,0.0,0,2018-08-25,0,2018-09-02,0,7e42c640212f021a731ea08d7b13c476,D,1
114,13244937878999119281,moved into first home,Permanent,,,Highest confidence,High significance,Somewhat Positive,personal,No effect,0.0,0,2018-08-01,0,,0,0221bd8da48adf2e6b701effc55fbd79,D,1
115,12580369954554372561,Took vacation,Temporary,Ended,01/01/2019,Highest confidence,Moderate significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-12-17,5,2019-01-01,0,4c908b21ec41b5dd709dbd99d0de63e3,D,1
116,10923945604697554625,Family illness (cared for father in law after surgery),Temporary,Ended,03/03/2019,Highest confidence,High significance,Somewhat Negative,personal,Small negative effect,0.0,0,2019-02-01,0,2019-03-03,0,3598aff5a027179ffcd5d80542a7b1ad,D,-1
118,11490896097141714538,vacation,Temporary,Ended,02/17/2019,High confidence,Moderate significance,Somewhat Positive,personal,No effect,0.0,0,2019-02-14,0,2019-02-17,0,a8f1eabd484c649bf1d72f962b36edc8,D,1
119,11696555265462338051,Relationship Started,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,Small positive effect,0.0,0,2018-12-02,0,,0,485a7ed3f4aeb3c7f549214332068fb6,D,1
120,13143633019080272508,I quit my job,Permanent,,,Highest confidence,Highest significance,Very Positive,personal,Medium positive effect,0.0,0,2018-10-15,5,,0,15a2babf0f762ca2d94a2ae6fda69a88,D,1
121,12611805032553625196,Pet died,Permanent,,,Moderately high  confidence,Moderately low significance,Extremely Negative,personal,Small negative effect,0.0,0,2018-03-15,0,,0,32092b87bbfa46eb13c4a5577b8e2aac,D,-1
122,11329586216091316598,Car accident,Temporary,Ongoing,,Highest confidence,High significance,Very Negative,personal,Small negative effect,2.0,0,2019-04-01,0,,0,986ee9c11c9674bd69a576379e99eab3,D,-1
123,10943522868092177046,Got married,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,Medium positive effect,0.0,0,2018-07-21,0,,0,541755b4ef684bbf17bb4bb065a36c32,D,1
124,12473598560100569113,Closed on House,Permanent,,,Highest confidence,Highest significance,Very Positive,personal,No effect,0.0,0,2018-06-12,0,,0,115bb67fc5993ecf1015c212f585a0b5,D,1
125,13550812265239242992,conflict with spouse,Temporary,Ongoing,,Moderately high  confidence,Moderately high significance,Very Negative,personal,Small negative effect,0.0,0,2018-05-01,0,,0,cdb837de41105c0ac26445ef194845e1,D,-1
126,11153506770947659927,Death of father,Permanent,,,Highest confidence,Highest significance,Extremely Negative,personal,Large negative effect,0.0,0,2018-03-21,0,,0,163e2d0bcf2b4465239414c099e31d39,D,-1
127,11142719043022694219,Promotion,Permanent,,,Moderately high  confidence,Highest significance,Extremely Positive,personal,Large positive effect,0.0,0,2019-04-01,0,,0,f2492b120060d707afb0732b469ac23c,D,1
129,9385868890389771155,car crash,Temporary,Ongoing,,Moderate confidence,Moderate significance,Extremely Negative,personal,Medium negative effect,0.0,0,2018-07-18,0,,0,87091ced8e39d43218fe76f5139da8af,D,-1
130,12219328703686349043,Got a puppy,Permanent,,,Highest confidence,Moderately high significance,Very Positive,personal,No effect,0.0,0,2018-06-06,0,,0,d157a1143a97d8dbff5c62cf42a1d91f,D,1
131,9538519058511045721,Mazatlan vacation,Temporary,Ended,02/18/2019,Highest confidence,Moderate significance,Extremely Positive,personal,Small negative effect,0.0,0,2019-02-15,0,2019-02-18,0,49c8262b62f0a45d7437ce326809d37f,D,1
132,11725804650858325510,Vacation,Temporary,Ended,08/29/2018,Highest confidence,Moderate significance,Very Positive,personal,No effect,1.0,0,2018-08-28,0,2018-08-29,0,7a6dc08a943ac1d148351da967d4385c,D,1
133,11178893862060923050,Moved into new home permanently,Permanent,,,Highest confidence,High significance,Very Positive,personal,Small negative effect,0.0,0,2018-11-16,0,,0,16aba35a368e308380dbe4ffc433ac41,D,1
134,12945770362079735188,Took a vacation,Temporary,Ended,12/01/2018,Moderately high  confidence,Low significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-11-23,0,2018-12-01,0,0d5fd9c96495ce6e26a2946bc5fc462c,D,1
135,12870395895502894727,vacation,Temporary,Ended,04/05/2019,Highest confidence,Moderate significance,Somewhat Positive,personal,No effect,0.0,0,2019-03-22,0,2019-04-05,0,bb305ac3c3670bec3c51a5be4639004b,D,1
136,12075167548445084568,wedding,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,No effect,0.0,0,2018-09-29,0,,0,1e5085109312eb35f55454ecbaa370c1,D,1
137,12672283172047217763,Father had a stroke,Temporary,Ended,03/01/2019,High confidence,High significance,Very Negative,personal,Medium negative effect,0.0,0,2019-01-21,0,2019-03-01,0,c1847a01b94b8f99594a5960b665986d,D,-1
140,12850824896021232015,Vacation,Temporary,Ended,01/15/2019,Highest confidence,Moderately high significance,Very Positive,personal,Small positive effect,0.0,0,2019-01-09,0,2019-01-15,0,6a3a1f77476848969509d2802eb4e3be,D,1
143,9951015782149876192,Vacation with Girlfriend,Temporary,Ended,12/28/2018,Moderately high  confidence,Highest significance,Extremely Positive,personal,Medium positive effect,0.0,0,2018-12-20,0,2018-12-28,0,7ae144ae79d4067714ad2ed58fe6fb8c,D,1
144,9690043469531814296,Christmas vacation,Temporary,Ended,01/01/2019,Highest confidence,High significance,Extremely Positive,personal,Large positive effect,0.0,0,2018-12-24,0,2019-01-01,0,0817e8e4d7c7bd0a894319f4d41db723,D,1
146,10536007720954569181,Vacation,Temporary,Ended,11/10/2018,High confidence,Moderately high significance,Extremely Positive,personal,No effect,0.0,0,2018-11-01,0,2018-11-10,0,1e7265206f52eadef439b8764e25b138,D,1
147,13181116832082595174,Son in car crash,Temporary,Ended,03/15/2019,High confidence,Moderately high significance,Very Negative,personal,Small negative effect,0.0,0,2018-12-30,0,2019-03-15,0,6cc5be11a28a9ea349451ba52c90298b,D,-1
148,12234776823901289891,Hurt Knee,Unsure,,,Moderately high  confidence,High significance,Very Negative,personal,Small negative effect,0.0,0,2018-10-26,5,,0,7d8a01dfea07c7fb029c85acf61e2ba3,D,-1
149,10990483368740508295,Vacationed to Orlando (solo),Temporary,Ended,03/02/2019,Highest confidence,Moderately high significance,Extremely Positive,personal,Medium positive effect,0.0,0,2019-02-23,0,2019-03-02,0,fa36d9d271c2cbdd6ae4f9699d0b24dc,D,1
150,10384937564254416204,Broke up with partner,Permanent,,,High confidence,Highest significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-08-15,0,,0,712c8a76cad442344879071959871c43,D,1
151,11844295148223763108,,Permanent,,,High confidence,Moderately high significance,Very Positive,personal,Small negative effect,0.0,0,2018-09-21,0,,0,ea6fa478620f2ae145b3bc067c1518e5,D,1
152,10903913578368349197,Vacation,Temporary,Ended,10/16/2018,High confidence,Moderately high significance,Extremely Positive,personal,No effect,0.0,0,2018-10-07,0,2018-10-16,0,913c0f1bb58c3e1c1bdc7712083f6b9e,D,1
153,12516215411311181588,Took a vacation,Temporary,Ended,01/06/2019,Highest confidence,Moderate significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-12-24,0,2019-01-06,0,198893166f8ce36e20d8796fb6a61cd4,D,1
154,11672365439001733626,Re-connect with parents after a year,Permanent,,,Highest confidence,High significance,Very Positive,personal,Medium positive effect,0.0,0,2018-09-14,0,,0,0adae9a9098549bcf7b20ee7e12b9575,D,1
155,12131199544704830706,Vacation,Temporary,Ended,11/16/2018,Highest confidence,Moderate significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-11-08,0,2018-11-16,0,fa3f9bc3a8a9957e815a22c62eda1aeb,D,1
156,12680617526080257161,My first sprint triathlon,Temporary,Ended,09/08/2018,Highest confidence,High significance,Extremely Positive,personal,Large positive effect,0.0,0,2018-09-08,0,2018-09-08,0,3a78f1e66fd3104c89b3f56b089b4b1b,D,1
157,10984962087018963837,Moved Residences,Permanent,,,High confidence,High significance,Very Positive,personal,Medium positive effect,0.0,0,2018-04-15,0,,0,2515caec27b425fcb3ad61066ec94674,D,1
158,12289126884564506200,Beach Vacation,Temporary,Ended,10/01/2018,Highest confidence,High significance,Extremely Positive,personal,No effect,0.0,0,2018-09-27,0,2018-10-01,0,170d659ad563a3c1158eca732fc5332b,D,1
159,10573207566091983793,vacation,Permanent,,,Moderate confidence,Moderate significance,Very Positive,personal,No effect,0.0,0,2018-12-27,0,,0,7e42c640212f021a731ea08d7b13c476,D,1
162,10943522868092177046,Honeymoon,Temporary,Ended,07/28/2018,Highest confidence,Highest significance,Extremely Positive,personal,Medium positive effect,0.0,0,2018-07-22,0,2018-07-28,0,541755b4ef684bbf17bb4bb065a36c32,D,1
163,12473598560100569113,Moved to Nashville,Permanent,,,Highest confidence,Highest significance,Very Positive,personal,Small positive effect,0.0,0,2018-07-06,0,,0,115bb67fc5993ecf1015c212f585a0b5,D,1
164,9385868890389771155,promoted,Permanent,,,High confidence,High significance,Extremely Positive,personal,Large positive effect,0.0,0,2018-08-26,0,,0,87091ced8e39d43218fe76f5139da8af,D,1
165,9538519058511045721,got pet,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,Small negative effect,0.0,0,2018-11-04,0,,0,49c8262b62f0a45d7437ce326809d37f,D,1
166,11725804650858325510,House Remodel,Permanent,,,Moderately high  confidence,Moderate significance,Very Positive,personal,No effect,1.0,0,2018-09-25,0,,0,7a6dc08a943ac1d148351da967d4385c,D,1
167,11178893862060923050,Partner joined me in the USA,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,No effect,0.0,0,2018-07-03,0,,0,16aba35a368e308380dbe4ffc433ac41,D,1
168,12075167548445084568,Honeymoon,Temporary,Ended,10/02/2018,Highest confidence,Moderate significance,Extremely Positive,personal,No effect,0.0,0,2018-10-02,0,2018-10-02,0,1e5085109312eb35f55454ecbaa370c1,D,1
170,10536136866870522594,Took a vacation,Temporary,Ended,01/10/2019,High confidence,Moderate significance,Very Positive,personal,No effect,0.0,0,2019-01-01,0,2019-01-10,0,959d66404777eb3fd2ebbaca17b4fa18,D,1
171,12850824896021232015,Breakup with significant other,Permanent,,,High confidence,High significance,Very Negative,personal,Medium negative effect,0.0,0,2019-01-27,0,,0,6a3a1f77476848969509d2802eb4e3be,D,-1
173,9951015782149876192,Pet Died,Temporary,Ended,02/01/2019,Moderately high  confidence,Moderately high significance,Very Negative,personal,No effect,0.0,0,2019-02-01,0,2019-02-01,0,7ae144ae79d4067714ad2ed58fe6fb8c,D,-1
174,13181116832082595174,Move Dad into nursing home,Permanent,,,High confidence,High significance,Somewhat Positive,personal,No effect,0.0,0,2018-08-01,0,,0,6cc5be11a28a9ea349451ba52c90298b,D,1
175,12234776823901289891,vacation,Temporary,Ended,07/14/2018,Highest confidence,Moderately high significance,Very Positive,personal,Medium negative effect,0.0,0,2018-07-01,0,2018-07-14,0,7d8a01dfea07c7fb029c85acf61e2ba3,D,1
176,10384937564254416204,dating new partner,Permanent,,,Highest confidence,Highest significance,Very Positive,personal,No effect,0.0,0,2018-12-01,0,,0,712c8a76cad442344879071959871c43,D,1
177,10903913578368349197,New Friends,Permanent,,,Highest confidence,High significance,Very Positive,personal,No effect,0.0,0,2018-07-01,0,,0,913c0f1bb58c3e1c1bdc7712083f6b9e,D,1
