id	crawl_id	snapshot_id_x	date_enrolled	post_id	created_time	Text	life_event_category_1	continuous_events_1	Additional life event note_ 1	life_event_category_2	continuous_events_2	Additional life event note_2	life_event_category_3	final_life_event	sentiment_x	SM_LifeEvent	LifeEventFamily_x	Anticipation_x	Intimacy_x	Scope_x	Comments	sigScore_x	matchId	matchVal_x	sm_sr_x	date_x	recency_x	LifeEventCat_x	Anticipation_y	DupeStatus	EventID	ExcludeCode	Intimacy_y	LifeEventFamily_y	LifeEventFinal	SR_LifeEvent	Scope_y	UpdatedBeginDate	UpdatedBeginDateCode	UpdatedEndDate	UpdatedEndDateCode	alias	cohort	date_confidence	description	end_date	ended_or_ongoing	life_event_type	matchVal_y	permanent_or_temporary	sentiment_y	sigScore_y	significance	snapshot_id_y	valence	work_perf_impact	sm_sr_y	date_y	recency_y	LifeEventCat_y
797968	5231	13346780717560972831	2018-06-13 0:00:00	10103090091494231_10103334478306101	2018-12-02 06:55:59	After a much longer travel day than we had planned on, Paul and I are safe and sound in Mexico City with bellies full of food from El Greco taqueria!	Trip			Vacation	VacationEvents			Vacation	0	Vacation	Personal	Anticipated	2.0	2.0		0.047695778279084756	33	1.0	1	2018-12-02 06:55:59	628.7111226851852	Vacation	Anticipated	0.0	881	0	2	Personal	Vacation	vacation	2	2018-12-01	0	2018-12-09	0	f1491cc7646ff11956bdcf5f54ab41bb	U	Highest confidence	vacation	12/09/2018	Ended	personal	0.0	Temporary	1	1	Moderately high significance	13346780717560972831	Very Positive	Small negative effect	0	2018-12-01	630.0	Vacation
797985	5231	13346780717560972831	2018-06-13 0:00:00	10103090091494231_10103282145920621	2018-10-24 22:01:44	Interacting with colleagues at my first NAFSA (International Educators) conference has been such a treat!!	WorkSuccess			Trip				Trip	0	Trip	Personal	Anticipated	2.0	2.0	posts about trips/vacations mostly involve family or friends	0.0338382210763777	34	1.0	1	2018-10-24 22:01:44	667.0821296296297	Trip	Unanticipated	0.0	1172	0	2	Health	HealthLoss	sick with a cold	3	2018-10-13	0	2018-10-21	0	f1491cc7646ff11956bdcf5f54ab41bb	U	Moderate confidence	sick with a cold	10/21/2018	Ended	health	0.0	Temporary	-1	-2	Low significance	13346780717560972831	Somewhat Negative	Small negative effect	0	2018-10-13	679.0	HealthLoss
707902	4869	12317803403016079907	2018-04-20 0:00:00	10156330605409721_10156398919844721	2018-05-19 13:26:43	Today we celebrate this little boys first birthday. This first year has been a pure joy watching him grow and spending time to play with him. Nothing beats being a grandparent!  Happy Birthday CJ!				FirstChild		grandchild's first birthday		FirstChild	1	FirstChild	Personal	Anticipated	2.0	2.0		0.06284241057041573	35	1.0	1	2018-05-19 13:26:43	825.4397800925926	FirstChild	Unanticipated	0.0	1134	0	1	Health	MiscEvent	health	3	2018-05-10	0	2018-05-30	0	84db1dfe12c95a3805f2cbc0da4cd3d9	U	Highest confidence	health	05/30/2018	Ended	health	1.0	Temporary	-1	3	Highest significance	12317803403016079907	Very Negative	Medium negative effect	0	2018-05-10	835.0	MiscEvent
729677	4981	9700311708285105703	2018-07-18 0:00:00	10215696132783699_10217032695276926	2019-01-21 02:06:42	Friends visiting from Seattle. I haven't skied in two months and now my muscles are killing me! Hopefully nice hot tub will cure the pain and I can go ski again tomorrow! #colorado #skiing #keystone #nature #snow #rockies #friends				IncreasedSocialActivity	SocialEvents			IncreasedSocialActivity	1	IncreasedSocialActivity	Personal	Anticipated	1.0	2.0		0.07379954882371899	43	1.0	1	2019-01-21 02:06:42	578.9120138888889	IncreasedSocialActivity	Anticipated	0.0	970	0	2	Personal	Trip	Went to see Family in Russia	2	2019-01-26	0	2019-02-09	0	c9380ae7e1528e7fd2c73bd562bdeba1	U	Highest confidence	Went to see Family in Russia	02/09/2019	Ended	personal	0.0	Temporary	1	1	Moderately high significance	9700311708285105703	Very Positive	Medium positive effect	0	2019-01-26	574.0	Trip
729695	4981	9700311708285105703	2018-07-18 0:00:00	10215696132783699_10216975844295687	2019-01-13 01:30:09	Teaching my friend how to cross country ski and teaching my dog skijouring. What a fantastic day to be outside! Everyone did a great job! :) photos of skijouring to follow! :) #crosscountryskiing #xcskiing #xc #nature #snow #colorado #nordic #skijouring  @ Frisco, Colorado				IncreasedSocialActivity	SocialEvents			IncreasedSocialActivity	1	IncreasedSocialActivity	Personal	Anticipated	1.0	2.0		0.08765710602642604	44	1.0	1	2019-01-13 01:30:09	586.9373958333333	IncreasedSocialActivity	Unanticipated	0.0	1191	0	2	Health	HealthLoss	Issues after dentist appointment	3	2019-01-10	0	2019-01-25	0	c9380ae7e1528e7fd2c73bd562bdeba1	U	High confidence	Issues after dentist appointment	01/25/2019	Ended	health	0.0	Temporary	-1	0	Moderate significance	9700311708285105703	Very Negative	Small negative effect	0	2019-01-10	590.0	HealthLoss
729729	4981	9700311708285105703	2018-07-18 0:00:00	10215696132783699_10216281283932112	2018-10-06 14:01:47	5 years! Happy Anniversary, my love!!! Wooden Anniversary! :)				PositiveRelationship				PositiveRelationship	1	PositiveRelationship	Personal	Unanticipated	2.0	2.0		0.019336126329358685	45	1.0	1	2018-10-06 14:01:47	685.4154282407408	PositiveRelationship	Anticipated	0.0	884	0	2	Personal	PersonMoveIn	Roommate moved in	2	2018-10-01	0	2019-04-10	4	c9380ae7e1528e7fd2c73bd562bdeba1	U	Highest confidence	Roommate moved in	06/01/2019	Ended	personal	1.0	Temporary	-1	0	Moderate significance	9700311708285105703	Somewhat Negative	No effect	0	2018-10-01	691.0	PersonMoveIn
750288	5093	10724892303697623593	2018-04-25 0:00:00	10212112151541417_10214372644852337	2018-12-27 14:17:47	Glucose testing day! 11 weeks until brother!				Pregnant	PregnantEvents			Pregnant	0	Pregnant	Personal	Anticipated	2.0	3.0		0.013857557202707057	46	1.0	1	2018-12-27 14:17:47	603.4043171296296	Pregnant	Unanticipated	0.0	1305	0	2	Work	HeavyWork	Increased Workload/hours	3	2019-01-02	0	2019-03-12	0	694ccfb8e4fa77543ad8a650e092d10c	U	Highest condidence	Increased Workload/hours	03/12/2019	Ended	work	0.0	Temporary	-1	3	Highest significance	10724892303697623593	Somewhat Negative	Large positive effect	0	2019-01-02	598.0	HeavyWork
415483	3688	12677361572409209396	2018-04-12 0:00:00	10215994356754492_10216260343603997	2018-05-19 17:53:23	Scored a few good deals at the yard sales.....still looking for a couple things for the kids, but nothing that is a necessity. They have plenty of clothes now, and plenty of things to do this summer, so I am happy. Can't wait till next weekend to see Makayla.....I miss her tons.				MoreLessFamilyMeetups	FamilyEvents			MoreLessFamilyMeetups	0	MoreLessFamilyMeetups	Personal	Anticipated	1.0	2.0		0.08959071865936191	122	1.0	1	2018-05-19 17:53:23	825.2545949074074	MoreLessFamilyMeetups	Anticipated	0.0	824	0	2	Personal	PersonMoveIn	Step Daughter moved in full time	2	2018-05-25	0		0	00711f469cd4df97fcf59b1d6ace3fd4	U	High confidence	Step Daughter moved in full time		Ongoing	personal	0.0	Temporary	1	2	High significance	12677361572409209396	Extremely Positive	Medium positive effect	0	2018-05-25	820.0	PersonMoveIn
503390	3688	12677361572409209396	2018-04-12 0:00:00	10216769756739007_10216771810750356	2018-07-23 20:49:44	Shes thriving! Im so happy. She was almost dead.						"Not talking about a person here (used word ""dead""), ""thriving"" most likely means a plant"	FriendDied	FriendDied	1	FriendDied	Personal	Unanticipated	2.0	2.0		0.01514663229133097	143	1.0	1	2018-07-23 20:49:44	760.1321296296296	FriendDied	Anticipated	0.0	941	0	2	Personal	Married	Married	2	2018-07-28	0		0	00711f469cd4df97fcf59b1d6ace3fd4	U	Highest confidence	Married			personal	0.0	Permanent	1	3	Highest significance	12677361572409209396	Extremely Positive	Large positive effect	0	2018-07-28	756.0	Married
503409	3688	12677361572409209396	2018-04-12 0:00:00	10216597961204226_10216599112913018	2018-07-01 23:25:10	They are all going to wear a different dress, but its this shade.					MarriageEvents	bridesmaids	Married	Married	0	Married	Personal	Anticipated	2.0	2.0		0.0206252014179826	147	1.0	1	2018-07-01 23:25:10	782.0241898148148	Married	Anticipated	0.0	1032	0	2	Health	Hospitalization	Hospital Stay #2	3	2018-06-28	0	2018-07-05	0	00711f469cd4df97fcf59b1d6ace3fd4	U	Moderately high  confidence	Hospital Stay #2	07/05/2018	Ended	personal	0.0	Temporary	-1	1	Moderately high significance	12677361572409209396	Very Negative	Medium negative effect	0	2018-06-28	786.0	Hospitalization
503497	3688	12677361572409209396	2018-04-12 0:00:00	10216004971739860_10216018835726451	2018-04-16 21:43:38	I am doing good. back to work tomorrow	HealthGain				HealthTreatment			HealthGain	1	HealthGain	Health	Anticipated	2.0	3.0		0.011923944569771189	155	1.0	1	2018-04-16 21:43:38	858.0946990740741	HealthGain	Anticipated	0.0	1001	0	2	Health	Hospitalization	Hospital Stay #1	3	2018-04-14	0	2018-04-20	0	00711f469cd4df97fcf59b1d6ace3fd4	U	High confidence	Hospital Stay #1	04/20/2018	Ended	personal	1.0	Temporary	-1	0	Moderate significance	12677361572409209396	Very Negative	Medium negative effect	0	2018-04-14	861.0	Hospitalization
701427	4821	13613220564732891197	2018-03-01 0:00:00	10104739776162541_10105162339307611	2018-08-15 13:31:11	Who's excited for the first day of school? Mandy Gramkow wanted a backpack picture so here you go!				BackToSchool				BackToSchool	0	BackToSchool	School	Anticipated	1.0	2.0		0.031260070899129876	156	1.0	1	2018-08-15 13:31:11	737.4366782407408	BackToSchool	Anticipated	0.0	752	0	1	School	BackToSchool	kids back in school	2	2018-08-14	0	2019-04-10	4	97cc30e6620f8e766c066d45bf281061	G	High confidence	kids back in school	05/20/2019	Ended	personal	1.0	Temporary	0	1	Moderately high significance	13613220564732891197	Neither Positive or Negative	Small negative effect	0	2018-08-14	739.0	BackToSchool
669026	4767	11617357645588456514	2018-04-24 0:00:00	2156148777743273_2120308317993986	2018-07-05 20:16:08	Pics from day one on the AT.  Saw a bear. Didn’t try to get a picture...just kept steppin’.				Vacation	VacationEvents			Vacation	0	Vacation	Personal	Anticipated	2.0	2.0		0.02900418949403803	158	1.0	1	2018-07-05 20:16:08	778.1554629629629	Vacation	Unanticipated	0.0	1421	0	3	Work	GotBonus	Bonus	3	2018-07-13	0	2018-07-13	0	2f59548fa2e124347dca623f5cb7b9fd	U	High confidence	Bonus	07/13/2018	Ended	work	1.0	Temporary	1	0	Moderate significance	11617357645588456514	Extremely Positive	Small positive effect	0	2018-07-13	771.0	GotBonus
776141	5153	10003988513706280520	2018-03-01 0:00:00	10106046177987800_10106610753843260	2018-09-16 19:25:50	Fun day getting the giant playset assembled.				RemodeledHome		giant playset- change in home		RemodeledHome	1	RemodeledHome	Personal	Anticipated	2.0	2.0		0.013857557202707057	159	1.0	1	2018-09-16 19:25:50	705.1903935185185	RemodeledHome	Anticipated	0.0	772	0	2	Personal	RemodeledHome	Remodeled home, required temporary move out	2	2018-09-10	0	2018-11-05	0	12a8029965db6a5b41d21179b9de8eed	G	Highest confidence	Remodeled home, required temporary move out	11/05/2018	Ended	personal	0.0	Temporary	-1	0	Moderate significance	10003988513706280520	Somewhat Negative	Small negative effect	0	2018-09-10	712.0	RemodeledHome
657690	4747	9251084965720942673	2018-07-24 0:00:00	2161912950720718_2218078121770867	2018-10-07 22:30:07	This guy will be missed.  Will always wish we had more time together.  24 years ago he was like a big brother to me when I needed it most.  Thanks for the good memories.				FriendDied		like a big brother - so a friend, not actually a brother		FriendDied	1	FriendDied	Personal	Unanticipated	2.0	2.0		0.05414115372220432	160	1.0	1	2018-10-07 22:30:07	684.0624189814815	FriendDied	Unanticipated	0.0	972	0	2	Personal	DeathInFamily	Bereavement leave	2	2018-10-09	0	2018-11-13	0	e151192f8868c462eac7f7d0d6e8bdf7	U	Highest confidence	Bereavement leave	11/13/2018	Ended	personal	1.0	Temporary	-1	2	High significance	9251084965720942673	Somewhat Negative	Small negative effect	0	2018-10-09	683.0	DeathInFamily
743300	5013	9897582009808093798	2018-07-20 0:00:00	10209142582280698_10209527284618016	2018-10-03 17:16:02	Because October is such a beautiful month, I have decided to use it as a catalyst for a few new healthy habits. . Habit #1: #ABookAMonth. I cannot wait to sink into my pick for October....	NewHobby							NewHobby	0	NewHobby	Personal	Anticipated	1.0	3.0		0.0602642603931679	161	1.0	1	2018-10-03 17:16:02	688.2805324074075	NewHobby	Unanticipated	0.0	1394	0	3	Financial	MiscFinancialChange	Year end financial work	3	2018-07-26	0	2018-09-24	0	6325fb337ae8dbf291e6e08c644ac8e5	NDL2	Moderately high confidence	Year end financial work	09/24/2018	Ended	work	0.0	Temporary	1	3	Highest significance	9897582009808093798	Very Positive	Large positive effect	0	2018-07-26	758.0	MiscFinancialChange
798052	5233	11490896097141714538	2018-06-05 0:00:00	10213878681933696_10215541217496046	2019-02-06 23:15:55	Never thought I’d be proud of a >10 minute/mile pace (pushing 55lb worth of stroller weight), but here I am. Hopefully with some persistence Levi and I will be a little faster and a little farther. #3miles #5monthsold				NewHobby	HobbyEvents	started running with baby in stroller		NewHobby	0	NewHobby	Personal	Anticipated	1.0	3.0		0.06961005478569127	163	1.0	1	2019-02-06 23:15:55	562.0306134259259	NewHobby	Anticipated	0.0	118	0	2	Personal	Vacation	vacation	2	2019-02-14	0	2019-02-17	0	a8f1eabd484c649bf1d72f962b36edc8	D	High confidence	vacation	02/17/2019	Ended	personal	0.0	Temporary	1	0	Moderate significance	11490896097141714538	Somewhat Positive	No effect	0	2019-02-14	555.0	Vacation
798068	5233	11490896097141714538	2018-06-05 0:00:00	10213878681933696_10214331281368399	2018-08-12 00:54:27	Happy due date Baby Martin! We may have to teach you a thing or two about timeliness, but we can’t wait to meet you when you’re ready!	FirstChild			Pregnant	PregnantEvents			Pregnant	0	Pregnant	Personal	Anticipated	2.0	3.0		0.042861746696745084	165	1.0	1	2018-08-12 00:54:27	740.9621875	Pregnant	Anticipated	0.0	24	0	2	Personal	ChildBirth	birth of child	2	2018-08-15	0		0	a8f1eabd484c649bf1d72f962b36edc8	D	Highest confidence	birth of child			personal	0.0	Permanent	1	3	Highest significance	11490896097141714538	Somewhat Positive	Large negative effect	0	2018-08-15	738.0	ChildBirth
617807	4696	13552397851020627563	2018-06-04 0:00:00	10213579523191262_10214317020988246	2018-11-22 00:35:48	Help me find Scrappy Doo a forever home!. My foster pup is the sweetest and needs a great home asap. . Scrappy is very smart, house broken, and crate trained. He''s 10 months old so he''s looking for a home ready to commit to him for life, unlike the family he came from </3. He''s a very good listener and would actually enjoy some additional training.. Help me find him a home!!!				PersonMovedOut	MoveEvents	Fostering a dog and having to give away. Use PersonMovedOut?		PersonMovedOut	1	PersonMovedOut	Personal	Anticipated	2.0	2.0		0.12246213341927167	168	1.0	1	2018-11-22 00:35:48	638.9751388888889	PersonMovedOut	Unanticipated	0.0	237	0	3	Work	BadWorkLife	Had conflict with a boss or coworker	3	2018-11-20	0	2019-01-04	0	3c50ae714365f7f9b4c3157084e8ee43	D	High confidence	Had conflict with a boss or coworker	01/04/2019	Ended	work	0.0	Temporary	-1	0	Moderate significance	13552397851020627563	Somewhat Negative	Medium negative effect	0	2018-11-20	641.0	BadWorkLife
796614	5205	12948099205267964526	2018-05-19 0:00:00	10210890503638872_10211635758429776	2018-09-28 16:37:20	Celebrating closing on our brand new home! 🏡				PositiveMove				PositiveMove	1	PositiveMove	Personal	Anticipated	2.0	2.0		0.013857557202707057	170	1.0	1	2018-09-28 16:37:20	693.3074074074074	PositiveMove	Anticipated	0.0	396	0	3	Financial	Mortgage	Mortgage	2	2018-09-20	0		0	85345f0b5de5021755dd877b5cde4882	D	High confidence	Mortgage			financial	1.0	Permanent	1	3	Highest significance	12948099205267964526	Extremely Positive	No effect	0	2018-09-20	702.0	Mortgage
796614	5205	12948099205267964526	2018-05-19 0:00:00	10210890503638872_10211635758429776	2018-09-28 16:37:20	Celebrating closing on our brand new home! 🏡				PositiveMove				PositiveMove	1	PositiveMove	Personal	Anticipated	2.0	2.0		0.013857557202707057	170	1.0	1	2018-09-28 16:37:20	693.3074074074074	PositiveMove	Anticipated	0.0	396	0	3	Financial	Mortgage	Mortgage	2	2018-09-20	0		0	85345f0b5de5021755dd877b5cde4882	D	High confidence	Mortgage			financial	1.0	Permanent	1	3	Highest significance	12948099205267964526	Extremely Positive	No effect	0	2018-09-20	702.0	Mortgage
602887	4656	9777858391923748976	2018-04-30 0:00:00	10110045446331958_10110646187656528	2018-09-16 16:36:30	High in the Elk mountains at 13,100 feet - the best sunrise I've ever seen. @ Maroon Bells–Snowmass Wilderness				IncreasedSocialActivity	HobbyEvents	significant hike to them		IncreasedSocialActivity	0	IncreasedSocialActivity	Personal	Anticipated	1.0	2.0		0.03512729616500161	171	1.0	1	2018-09-16 16:36:30	705.3079861111111	IncreasedSocialActivity	Anticipated	0.0	1073	0	1	Local	SportsEvent	High altitude hike	1	2018-09-16	0	2018-09-16	0	0ba600269b1beac4a4ca6c439eda0c43	U	Highest confidence	High altitude hike	09/16/2018	Ended	personal	0.0	Temporary	1	0	Moderate significance	9777858391923748976	Extremely Positive	No effect	0	2018-09-16	706.0	SportsEvent
602908	4656	9777858391923748976	2018-04-30 0:00:00	10110045446331958_10110232469196638	2018-06-15 18:43:46	Conquered my first 14er this morning - Mt. Bierstadt - 14,065 ft above sea level :) @ Mount Bierstadt				NewHobby	HobbyEvents	hiking hobby		NewHobby	0	NewHobby	Personal	Anticipated	1.0	3.0		0.03222687721559781	172	1.0	1	2018-06-15 18:43:46	798.2196064814815	NewHobby	Unanticipated	0.0	968	0	2	Health	HealthLoss	Climbed a 14er on my birthday and got extreme altitude sickness (10 hrs of being sick))	3	2018-06-15	3	2018-06-15	0	0ba600269b1beac4a4ca6c439eda0c43	U	Highest confidence	Climbed a 14er on my birthday and got extreme altitude sickness (10 hrs of being sick))	06/15/2018	Ended	personal	1.0	Temporary	-1	1	Moderately high significance	9777858391923748976	Somewhat Negative	No effect	0	2018-06-15	799.0	HealthLoss
531105	4385	9874253110996873329	2018-03-16 0:00:00	10214581276022777_10216073491727237	2018-08-11 20:30:11	Packing in as much family time as possible before the boom gets lowered next week.				MoreLessFamilyMeetups				MoreLessFamilyMeetups	0	MoreLessFamilyMeetups	Personal	Anticipated	1.0	2.0		0.026103770544634225	174	1.0	1	2018-08-11 20:30:11	741.1457060185185	MoreLessFamilyMeetups	Anticipated	0.0	656	0	1	School	BackToSchool	Oldest child moved out for college	2	2018-08-17	0		0	66d6d65d0cd392ecb90a0fd5134ff382	NDL2	Highest confidence	Oldest child moved out for college			personal	0.0	Permanent	0	2	High significance	9874253110996873329	Neither Positive or Negative	Small positive effect	0	2018-08-17	736.0	BackToSchool
452455	4201	12204601337084291188	2018-01-24 0:00:00	10112123433828244_10113734014097474	2018-11-20 13:42:23	#Bermeo #BasqueCountry		VacationEvent					Vacation	Vacation	0	Vacation	Personal	Anticipated	2.0	2.0		0.00676764421527554	183	1.0	1	2018-11-20 13:42:23	640.4289004629629	Vacation	Unanticipated		1950	0	3	Work	GotBonus	Bonus	3	2018-11-30	5	2018-11-30	5	5547e843949457e9bc8a811e35173628	KLA	Moderately high confidence	Bonus	11/30/2019	Ended	work	0.0	Temporary	1	2	High significance	12204601337084291188	Somewhat Positive		0	2018-11-30	631.0	GotBonus
