status,valence,recency,LifeEventFamily,Anticipation,Intimacy,Scope,age,gender,shipley_vocab,shipley_abs,openness,conscientiousness,extraversion,agreeableness,neuroticism,pos_affect,neg_affect,stai_trait,psqi,education_level,anxiety
Ongoing,0,715,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.3330000000000002
Ongoing,0,768,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.429
Ongoing,-1,736,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.714
Ongoing,0,735,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.714
Ongoing,0,735,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.714
Ongoing,0,730,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,0,778,Personal,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,0,743,Personal,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.5
Ongoing,1,739,Personal,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.714
Ongoing,1,716,Personal,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.3330000000000002
ended,1,711,Personal,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,0,759,Local,Unanticipated,1,1,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,1,767,Local,Anticipated,1,1,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.429
Ongoing,0,738,School,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.714
Ongoing,0,741,School,Anticipated,1,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.5
Ongoing,1,778,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,1,758,Personal,Unanticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,0,850,Personal,Anticipated,2,2,29.0,Male,35.0,16.0,4.75,4.166666667,3.916666667,4.916666667,1.25,49.0,13.0,20.0,5.0,College Degree,2.0
Ongoing,1,849,Personal,Anticipated,2,2,29.0,Male,35.0,16.0,4.75,4.166666667,3.916666667,4.916666667,1.25,49.0,13.0,20.0,5.0,College Degree,2.0
Ongoing,1,846,Personal,Anticipated,2,2,29.0,Male,35.0,16.0,4.75,4.166666667,3.916666667,4.916666667,1.25,49.0,13.0,20.0,5.0,College Degree,2.0
Ongoing,1,851,Work,Anticipated,1,1,29.0,Male,35.0,16.0,4.75,4.166666667,3.916666667,4.916666667,1.25,49.0,13.0,20.0,5.0,College Degree,2.0
Ongoing,1,852,Personal,Anticipated,1,2,29.0,Male,35.0,16.0,4.75,4.166666667,3.916666667,4.916666667,1.25,49.0,13.0,20.0,5.0,College Degree,2.0
Ongoing,1,903,Local,Anticipated,1,1,37.0,Female,34.0,16.0,4.25,3.166666667,4.333333333,3.166666667,2.25,33.0,12.0,36.0,8.0,Doctoral Degree,1.571
Ongoing,1,910,Work,Unanticipated,2,3,37.0,Female,34.0,16.0,4.25,3.166666667,4.333333333,3.166666667,2.25,33.0,12.0,36.0,8.0,Doctoral Degree,1.8
Ongoing,0,818,Personal,Anticipated,2,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.0
Ongoing,0,813,Personal,Anticipated,2,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.333
Ongoing,0,803,Personal,Anticipated,2,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.5
Ongoing,0,787,Personal,Anticipated,1,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.571
Ongoing,1,801,Local,Anticipated,1,1,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.5
Ongoing,0,801,Local,Anticipated,1,1,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.5
Ongoing,0,799,Local,Anticipated,1,1,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.5
Ongoing,0,795,Local,Anticipated,1,1,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.0
Ongoing,0,791,School,Anticipated,1,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.0
Ongoing,0,781,Personal,Unanticipated,2,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.0
ended,0,800,Personal,Unanticipated,1,2,39.0,Female,38.0,18.0,4.75,4.25,3.083333333,3.416666667,3.833333333,37.0,29.0,54.0,7.0,College Degree,2.5
Ongoing,0,840,Local,Anticipated,1,1,36.0,Female,35.0,18.0,4.0,4.33333333333333,4.75,4.66666666666667,1.25,34.0,14.0,27.0,4.0,Graduate Degree,1.714
Ongoing,0,780,Personal,Anticipated,2,2,42.0,Female,38.0,17.0,4.416666667,4.333333333,2.416666667,3.833333333,3.0,29.0,15.0,40.0,8.0,Graduate Degree,1.143
Ongoing,1,780,Personal,Anticipated,2,2,42.0,Female,38.0,17.0,4.416666667,4.333333333,2.416666667,3.833333333,3.0,29.0,15.0,40.0,8.0,Graduate Degree,1.143
Ongoing,0,785,Personal,Anticipated,1,2,42.0,Female,38.0,17.0,4.416666667,4.333333333,2.416666667,3.833333333,3.0,29.0,15.0,40.0,8.0,Graduate Degree,2.0
Ongoing,0,781,Local,Anticipated,1,1,42.0,Female,38.0,17.0,4.416666667,4.333333333,2.416666667,3.833333333,3.0,29.0,15.0,40.0,8.0,Graduate Degree,1.143
Ongoing,1,813,Personal,Anticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.0
Ongoing,1,751,Personal,Anticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.3330000000000002
Ongoing,1,791,Personal,Anticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.5
ended,1,811,Personal,Anticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.0
Ongoing,1,770,Personal,Anticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,2.0
Ongoing,0,751,Personal,Anticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.3330000000000002
Ongoing,1,768,Personal,Anticipated,1,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.0
Ongoing,0,792,Local,Unanticipated,1,1,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.5
ended,1,807,School,Anticipated,1,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,2.0
ended,1,807,School,Anticipated,1,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,2.0
Ongoing,1,788,Personal,Anticipated,2,3,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.4
Ongoing,1,755,Personal,Unanticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.6669999999999998
Ongoing,1,750,Personal,Unanticipated,2,2,37.0,Male,33.0,16.0,3.25,4.416666667,4.333333333,4.916666667,1.75,41.0,15.0,30.0,5.0,College Degree,1.3330000000000002
Ongoing,0,798,Personal,Anticipated,2,2,62.0,Female,37.0,21.0,4.166666667,2.25,2.75,4.916666667,2.333333333,25.0,19.0,40.0,6.0,Graduate Degree,1.8
Ongoing,1,776,Personal,Anticipated,2,2,62.0,Female,37.0,21.0,4.166666667,2.25,2.75,4.916666667,2.333333333,25.0,19.0,40.0,6.0,Graduate Degree,1.25
Ongoing,1,783,Personal,Anticipated,1,2,62.0,Female,37.0,21.0,4.166666667,2.25,2.75,4.916666667,2.333333333,25.0,19.0,40.0,6.0,Graduate Degree,2.0
Ongoing,0,778,Personal,Anticipated,1,2,62.0,Female,37.0,21.0,4.166666667,2.25,2.75,4.916666667,2.333333333,25.0,19.0,40.0,6.0,Graduate Degree,1.25
Ongoing,0,778,Personal,Unanticipated,2,2,62.0,Female,37.0,21.0,4.166666667,2.25,2.75,4.916666667,2.333333333,25.0,19.0,40.0,6.0,Graduate Degree,1.25
Ongoing,1,782,Personal,Anticipated,2,2,32.0,Female,36.0,16.0,3.833333333,4.0,3.916666667,4.333333333,2.416666667,37.0,16.0,39.0,6.0,Graduate Degree,1.3330000000000002
ended,1,770,Personal,Anticipated,2,2,32.0,Female,36.0,16.0,3.833333333,4.0,3.916666667,4.333333333,2.416666667,37.0,16.0,39.0,6.0,Graduate Degree,1.167
Ongoing,0,810,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,0,809,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,0,808,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,0,807,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,0,806,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,1,805,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,1,804,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,0,804,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
Ongoing,1,802,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.6
Ongoing,1,800,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.6
Ongoing,0,806,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.571
ended,0,786,Personal,Anticipated,2,2,32.0,Female,37.0,15.0,4.0,4.5,3.083333333,4.75,2.25,35.0,19.0,37.0,4.0,College Degree,1.286
Ongoing,0,759,Personal,Anticipated,2,2,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,0,757,Personal,Anticipated,2,2,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,0,756,Personal,Anticipated,2,2,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,0,756,Personal,Anticipated,2,2,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,1,792,Local,Unanticipated,1,1,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,0,815,Local,Anticipated,1,1,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,0,760,Personal,Unanticipated,2,2,25.0,Female,37.0,19.0,3.916666667,3.166666667,3.083333333,2.333333333,2.333333333,28.0,25.0,51.0,8.0,College Degree,2.0
Ongoing,0,743,Personal,Anticipated,2,2,29.0,Female,34.0,18.0,2.4166666666666696,4.41666666666667,1.9166666666666696,3.5,2.6666666666666696,25.0,22.0,44.0,5.0,Graduate Degree,1.5
Ongoing,0,794,Personal,Anticipated,2,2,29.0,Female,34.0,18.0,2.4166666666666696,4.41666666666667,1.9166666666666696,3.5,2.6666666666666696,25.0,22.0,44.0,5.0,Graduate Degree,2.333
ended,1,806,Personal,Anticipated,1,2,29.0,Female,34.0,18.0,2.4166666666666696,4.41666666666667,1.9166666666666696,3.5,2.6666666666666696,25.0,22.0,44.0,5.0,Graduate Degree,2.0
Ongoing,0,749,Personal,Unanticipated,2,2,29.0,Female,34.0,18.0,2.4166666666666696,4.41666666666667,1.9166666666666696,3.5,2.6666666666666696,25.0,22.0,44.0,5.0,Graduate Degree,1.5
Ongoing,1,789,Personal,Anticipated,1,2,36.0,Male,35.0,21.0,3.75,3.25,3.166666667,4.666666667,2.333333333,29.0,23.0,46.0,9.0,College Degree,2.5
Ongoing,1,814,Personal,Anticipated,1,2,41.0,Male,27.0,14.0,2.916666667,3.583333333,3.0,3.583333333,3.5,24.0,16.0,54.0,8.0,College Degree,4.0
Ongoing,0,800,Personal,Unanticipated,2,2,41.0,Male,27.0,14.0,2.916666667,3.583333333,3.0,3.583333333,3.5,24.0,16.0,54.0,8.0,College Degree,3.0
ended,1,817,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,1,800,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,0,801,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,1,789,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.143
Ongoing,0,769,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.5
Ongoing,1,768,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,1,767,Personal,Anticipated,1,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,1,801,Local,Unanticipated,1,1,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,1,800,Personal,Anticipated,2,2,57.0,Female,39.0,17.0,4.416666667,4.416666667,4.416666667,4.333333333,1.166666667,42.0,15.0,28.0,9.0,Graduate Degree,1.0
Ongoing,1,778,Personal,Anticipated,1,3,28.0,Male,33.0,16.0,3.583333333,4.166666667,3.25,3.75,1.166666667,35.0,15.0,34.0,4.0,Graduate Degree,1.167
Ongoing,1,813,Personal,Anticipated,1,2,28.0,Male,34.0,21.0,3.666666667,4.5,3.75,4.5,1.9166666669999999,37.0,17.0,43.0,13.0,College Degree,1.5
Ongoing,0,811,Personal,Anticipated,1,2,28.0,Male,34.0,21.0,3.666666667,4.5,3.75,4.5,1.9166666669999999,37.0,17.0,43.0,13.0,College Degree,1.5
ended,1,746,Personal,Anticipated,2,2,23.0,Female,31.0,12.0,3.75,2.9166666666666696,2.8333333333333304,3.5,2.9166666666666696,33.0,34.0,60.0,7.0,College Degree,2.833
Ongoing,0,812,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.286
Ongoing,0,813,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.286
Ongoing,0,812,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.286
Ongoing,0,812,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.286
Ongoing,1,812,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.286
Ongoing,0,810,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.6
Ongoing,0,804,Personal,Anticipated,2,2,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.6
Ongoing,0,850,Work,Unanticipated,3,3,30.0,Female,35.0,18.0,4.25,3.166666667,2.75,4.083333333,1.4166666669999999,37.0,16.0,39.0,9.0,Doctoral Degree,1.5
Ongoing,0,822,Personal,Anticipated,2,2,53.0,Male,32.0,12.0,4.0,4.666666667,4.166666667,4.583333333,2.416666667,36.0,10.0,30.0,5.0,College Degree,1.4
